,But+M5050,But+M5050,But+M5050,But+M5050,But+M5050,But+M5050,But+M5050,But+M5050,"But   ","But   ","But   ","But   ","But   ","But   ","But   ","But   ",Control,Control,Control,Control,Control,Control,Control,Control
5,30,25,26,37,30,30,39,22,23,23,28,35,30,23,31,27,23,21,27,38,23,34,33,18
10,48,56,51,62,57,42,61,40,63,59,63,63,58,63,59,55,23,23,33,33,27,24,30,20
15,48,64,59,68,63,53,66,52,57,49,58,59,55,66,55,50,26,27,33,34,32,27,32,21
20,50,63,59,72,62,57,64,57,54,50,51,58,54,61,54,48,28,28,32,36,33,35,32,26
