,But+M5050,But+M5050,But+M5050,But+M5050,But+M5050,But+M5050,But+M5050,But+M5050,But,But,But,But,But,But,But,But,Control,Control,Control,Control,Control,Control,Control,Control
5,82,76,75,89,89,83,71,84,77,75,87,82,86,102,80,75,78,80,79,80,96,81,81,83
10,75,66,63,72,75,79,65,84,66,65,63,66,71,74,63,67,81,86,78,83,94,94,85,95
15,76,59,64,66,60,74,60,73,71,67,70,67,69,72,56,70,76,86,80,80,98,92,80,94
20,73,53,61,62,61,72,61,72,68,66,65,69,69,70,64,73,81,84,79,81,76,85,79,89
