,"But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field"
5,26,31,33,36,29,37,44,32,,,,,,,40,36.5,41,36.3,24.6,35,26.8,48.5,41.6,31.3,37,34,30.9,42.2
10,62,71,58,50,77,69,61,50,,,,,,,62.6,71.5,71.8,71.6,57.4,71.2,56.9,77.2,72.4,59.9,79.2,74.8,73.3,65
15,76,78,76,52,87,78,74,57,,,,,,,88.3,99.3,79.8,77,64.8,72.1,64.2,66.7,75,65.3,83.9,86.6,101.2,76.5
20,90,83,78,49,89,88,71,76,,,,,,,79.6,98.2,61,74.6,68.6,74.7,61,66,80.7,61.1,77.9,110.1,147.8,75.6
25,113,88,90,50,72,92,73,62,,,,,,,70.3,97,64.6,65,53.1,71.1,65.6,67.1,74.7,56.2,68.4,145,155.5,78.9
