,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+O2,But+O2,But+O2,But+O2,But+O2,But+O2,But+O2,But+O2,Control,Control,Control,Control,Control,Control,Control,Control
5,83,80,74,78,75,82,75,79,82,77,81,84,83,88,69,71,78,80,79,80,96,81,81,83
10,89,74,68,74,90,81,73,90,69,69,95,70,73,74,65,84,81,86,78,83,94,94,85,95
15,76,69,65,72,78,78,62,81,73,78,81,74,75,76,55,91,76,86,80,80,98,92,80,94
20,79,66,67,73,74,74,65,74,66,73,71,75,77,79,44,91,81,84,79,81,76,85,79,89
