,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+M5050+O2,But+O2,But+O2,But+O2,But+O2,But+O2,But+O2,But+O2,But+O2,Control,Control,Control,Control,Control,Control,Control,Control
5,8,5,7.5,9,5.5,6,4,8,6,6,9,8,6,6,6,6,5.5,7,5,7.5,4,9,8,6
10,7,6,9,9,6,6,6,4.5,8,8,5,10,8,10,8,11,8.5,7.5,6,10,7.5,9,5.5,5
15,6.5,5,7,7,6,5,4.5,7,4.5,5,6,7,6,6,4,7,5,6,5,8,8.5,9,4.5,5
20,5.5,6,7.5,7,7,4.5,4,7,4,4.5,8,6,5,5,5,7,7,5.5,5,6,8.5,8,4.5,4
