,"But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+M5050+O2 Field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field","But+O2 field"
5,72,67,70,65,82,67,66,64,,,,,,,70.1,60,68.5,57.6,67.6,66.2,68.5,48.7,49.9,75.5,57.1,61.9,67.7,62.5
10,75,61,72,57,67,60,58,65,,,,,,,48.3,71.5,49.7,49.3,68.8,50,60.1,41.4,52,62.4,47.1,56.5,54.6,53.5
15,73,60,67,55,56,58,59,66,,,,,,,52.4,59.2,49.9,49.2,46.9,53.9,66,42.6,49.6,64.5,47.7,58.2,59,50.5
20,71,60,65,56,56,60,61,53,,,,,,,56.2,52.7,50,51,56.3,58.5,62.3,45,53.2,60.2,52,62.3,60.9,53
25,72,61,67,56,56,61,63,69,,,,,,,56,59.4,60.6,49,57.4,54.5,64.7,47.6,58.5,60.7,45.1,70.5,68.8,54.1
