time_min,intervention,PCO2,id,supplement
5,Butorphanol,77,ID2,oxygen
10,Butorphanol,69,ID2,oxygen
15,Butorphanol,78,ID2,oxygen
20,Butorphanol,73,ID2,oxygen
5,Butorphanol,81,ID3,oxygen
10,Butorphanol,95,ID3,oxygen
15,Butorphanol,81,ID3,oxygen
20,Butorphanol,71,ID3,oxygen
5,Butorphanol,84,ID4,oxygen
10,Butorphanol,70,ID4,oxygen
15,Butorphanol,74,ID4,oxygen
20,Butorphanol,75,ID4,oxygen
5,Butorphanol,83,ID5,oxygen
10,Butorphanol,73,ID5,oxygen
15,Butorphanol,75,ID5,oxygen
20,Butorphanol,77,ID5,oxygen
5,Butorphanol,88,ID6,oxygen
10,Butorphanol,74,ID6,oxygen
15,Butorphanol,76,ID6,oxygen
20,Butorphanol,79,ID6,oxygen
5,Butorphanol,69,ID7,oxygen
10,Butorphanol,65,ID7,oxygen
15,Butorphanol,55,ID7,oxygen
20,Butorphanol,44,ID7,oxygen
5,Butorphanol,71,ID8,oxygen
10,Butorphanol,84,ID8,oxygen
15,Butorphanol,91,ID8,oxygen
20,Butorphanol,91,ID8,oxygen
5,Sterile water,78,ID1,oxygen
10,Sterile water,81,ID1,oxygen
15,Sterile water,76,ID1,oxygen
20,Sterile water,81,ID1,oxygen
5,Sterile water,80,ID2,oxygen
10,Sterile water,86,ID2,oxygen
15,Sterile water,86,ID2,oxygen
20,Sterile water,84,ID2,oxygen
5,Sterile water,79,ID3,oxygen
10,Sterile water,78,ID3,oxygen
15,Sterile water,80,ID3,oxygen
20,Sterile water,79,ID3,oxygen
5,Sterile water,80,ID4,oxygen
10,Sterile water,83,ID4,oxygen
15,Sterile water,80,ID4,oxygen
20,Sterile water,81,ID4,oxygen
5,Sterile water,96,ID5,oxygen
10,Sterile water,94,ID5,oxygen
15,Sterile water,98,ID5,oxygen
20,Sterile water,76,ID5,oxygen
5,Sterile water,81,ID6,oxygen
10,Sterile water,94,ID6,oxygen
15,Sterile water,92,ID6,oxygen
20,Sterile water,85,ID6,oxygen
5,Sterile water,81,ID7,oxygen
10,Sterile water,85,ID7,oxygen
15,Sterile water,80,ID7,oxygen
20,Sterile water,79,ID7,oxygen
5,Sterile water,83,ID8,oxygen
10,Sterile water,95,ID8,oxygen
15,Sterile water,94,ID8,oxygen
20,Sterile water,89,ID8,oxygen
